FIPS,COUNTY,STATE,SUBREGION
37099,Jackson,North Carolina,South Central
37111,McDowell,North Carolina,South Central
37113,Macon,North Carolina,South Central
37115,Madison,North Carolina,South Central
37121,Mitchell,North Carolina,South Central
37149,Polk,North Carolina,South Central
37161,Rutherford,North Carolina,South Central
37169,Stokes,North Carolina,South Central
37171,Surry,North Carolina,South Central
37173,Swain,North Carolina,South Central
37175,Transylvania,North Carolina,South Central
37189,Watauga,North Carolina,South Central
37193,Wilkes,North Carolina,South Central
37197,Yadkin,North Carolina,South Central
37199,Yancey,North Carolina,South Central
39001,Adams,Ohio,North Central
39007,Ashtabula,Ohio,Northern
39009,Athens,Ohio,North Central
39013,Belmont,Ohio,Northern
39015,Brown,Ohio,North Central
39019,Carroll,Ohio,Northern
39025,Clermont,Ohio,North Central
39029,Columbiana,Ohio,Northern
39031,Coshocton,Ohio,Northern
39053,Gallia,Ohio,North Central
39059,Guernsey,Ohio,Northern
39067,Harrison,Ohio,Northern
39071,Highland,Ohio,North Central
39073,Hocking,Ohio,North Central
39075,Holmes,Ohio,Northern
39079,Jackson,Ohio,North Central
39081,Jefferson,Ohio,Northern
39087,Lawrence,Ohio,North Central
39099,Mahoning,Ohio,Northern
39105,Meigs,Ohio,North Central
39111,Monroe,Ohio,North Central
39115,Morgan,Ohio,North Central
39119,Muskingum,Ohio,Northern
39121,Noble,Ohio,North Central
39127,Perry,Ohio,North Central
39131,Pike,Ohio,North Central
39141,Ross,Ohio,North Central
39145,Scioto,Ohio,North Central
39155,Trumbull,Ohio,Northern
39157,Tuscarawas,Ohio,Northern
39163,Vinton,Ohio,North Central
39167,Washington,Ohio,North Central
42003,Allegheny,Pennsylvania,Northern
42005,Armstrong,Pennsylvania,Northern
42007,Beaver,Pennsylvania,Northern
42009,Bedford,Pennsylvania,Northern
42013,Blair,Pennsylvania,Northern
42015,Bradford,Pennsylvania,Northern
42019,Butler,Pennsylvania,Northern
42021,Cambria,Pennsylvania,Northern
42023,Cameron,Pennsylvania,Northern
42025,Carbon,Pennsylvania,Northern
42027,Centre,Pennsylvania,Northern
42031,Clarion,Pennsylvania,Northern
42033,Clearfield,Pennsylvania,Northern
42035,Clinton,Pennsylvania,Northern
42037,Columbia,Pennsylvania,Northern
42039,Crawford,Pennsylvania,Northern
42047,Elk,Pennsylvania,Northern
42049,Erie,Pennsylvania,Northern
42051,Fayette,Pennsylvania,Northern
42053,Forest,Pennsylvania,Northern
42057,Fulton,Pennsylvania,Northern
42059,Greene,Pennsylvania,Northern
42061,Huntingdon,Pennsylvania,Northern
42063,Indiana,Pennsylvania,Northern
42065,Jefferson,Pennsylvania,Northern
42067,Juniata,Pennsylvania,Northern
42069,Lackawanna,Pennsylvania,Northern
42073,Lawrence,Pennsylvania,Northern
42079,Luzerne,Pennsylvania,Northern
42081,Lycoming,Pennsylvania,Northern
42083,McKean,Pennsylvania,Northern
42085,Mercer,Pennsylvania,Northern
42087,Mifflin,Pennsylvania,Northern
42089,Monroe,Pennsylvania,Northern
42093,Montour,Pennsylvania,Northern
42097,Northumberland,Pennsylvania,Northern
42099,Perry,Pennsylvania,Northern
42103,Pike,Pennsylvania,Northern
42105,Potter,Pennsylvania,Northern
42107,Schuylkill,Pennsylvania,Northern
42109,Snyder,Pennsylvania,Northern
42111,Somerset,Pennsylvania,Northern
42113,Sullivan,Pennsylvania,Northern
42115,Susquehanna,Pennsylvania,Northern
42117,Tioga,Pennsylvania,Northern
42119,Union,Pennsylvania,Northern
42121,Venango,Pennsylvania,Northern
42123,Warren,Pennsylvania,Northern
42125,Washington,Pennsylvania,Northern
42127,Wayne,Pennsylvania,Northern
42129,Westmoreland,Pennsylvania,Northern
42131,Wyoming,Pennsylvania,Northern
45007,Anderson,South Carolina,Southern
45021,Cherokee,South Carolina,Southern
45045,Greenville,South Carolina,Southern
45073,Oconee,South Carolina,Southern
45077,Pickens,South Carolina,Southern
45083,Spartanburg,South Carolina,Southern
45087,Union,South Carolina,Southern
47001,Anderson,Tennessee,Central
47007,Bledsoe,Tennessee,South Central
47009,Blount,Tennessee,South Central
47011,Bradley,Tennessee,South Central
47013,Campbell,Tennessee,Central
47015,Cannon,Tennessee,South Central
47019,Carter,Tennessee,South Central
47025,Claiborne,Tennessee,Central
47027,Clay,Tennessee,Central
47029,Cocke,Tennessee,South Central
47031,Coffee,Tennessee,South Central
47035,Cumberland,Tennessee,South Central
47041,De Kalb,Tennessee,South Central
47049,Fentress,Tennessee,Central
47051,Franklin,Tennessee,South Central
47057,Grainger,Tennessee,Central
47059,Greene,Tennessee,South Central
47061,Grundy,Tennessee,South Central
47063,Hamblen,Tennessee,South Central
47065,Hamilton,Tennessee,South Central
47067,Hancock,Tennessee,Central
47073,Hawkins,Tennessee,South Central
47087,Jackson,Tennessee,Central
47089,Jefferson,Tennessee,South Central
47091,Johnson,Tennessee,South Central
47093,Knox,Tennessee,South Central
47099,Lawrence,Tennessee,South Central
47101,Lewis,Tennessee,South Central
47105,Loudon,Tennessee,South Central
47107,McMinn,Tennessee,South Central
47111,Macon,Tennessee,Central
47115,Marion,Tennessee,South Central
47121,Meigs,Tennessee,South Central
47123,Monroe,Tennessee,South Central
47129,Morgan,Tennessee,Central
47133,Overton,Tennessee,Central
47137,Pickett,Tennessee,Central
47139,Polk,Tennessee,South Central
47141,Putnam,Tennessee,South Central
47143,Rhea,Tennessee,South Central
47145,Roane,Tennessee,South Central
47151,Scott,Tennessee,Central
47153,Sequatchie,Tennessee,South Central
47155,Sevier,Tennessee,South Central
47159,Smith,Tennessee,South Central
47163,Sullivan,Tennessee,South Central
47171,Unicoi,Tennessee,South Central
47173,Union,Tennessee,Central
47175,Van Buren,Tennessee,South Central
47177,Warren,Tennessee,South Central
47179,Washington,Tennessee,South Central
47185,White,Tennessee,South Central
51005,Alleghany + Covington city,Virginia,South Central
51017,Bath,Virginia,South Central
51021,Bland,Virginia,South Central
51023,Botetourt,Virginia,South Central
51027,Buchanan,Virginia,Central
51035,Carroll + Galax city,Virginia,South Central
51045,Craig,Virginia,South Central
51051,Dickenson,Virginia,Central
51063,Floyd,Virginia,South Central
